Public School Name,District Name,LEA Code,CESA,School Code,School Type,Low Grade,High Grade,Contact,Contact Title,Physical Address,Mailing Address,Mailing City,Mailing Zip,Mailing Zip + 4,Shipping Address,Physical City,County Code,County Name,Phone,Extension,Fax,Email,Website,School Category,Charter,Virtual,District NCES,School NCES,Agency Type Description
Little Prairie Primary,East Troy Community,1540,02,0020,Elementary School,K4,02,Lindsey  Harris,Principal,2109 Townline Rd  East Troy WI  53120,"2109 Townline Rd East Troy WI  53120  ",East Troy,53120,,"2109 Townline Rd East Troy WI  53120  ",East Troy,64,Walworth,262-642-6730,2222,2626426723,harlin@easttroy.k12.wi.us,www.easttroy.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5504020,00409,Public school
Little Rails Early Learning,Spooner Area,5474,11,0120,Elementary School,K4,PK,Luke  Stordahl,Principal,1821 Scribner St  Spooner WI  54801-1174,"1821 Scribner St Spooner WI  54801-1174  ",Spooner,54801,1174,"801 County Highway A Spooner WI  54801-7429  ",Spooner,65,Washburn,715-635-2171,1002,7156359621,stordahll@spooner.k12.wi.us,www.spooner.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5514220,02956,Public school
Little Stars Pre-School,Colby,1162,10,0120,Elementary School,K4,PK,Steven  Kolden,Director,202 West Dolf St  Colby WI  54421,"PO Box 140 Colby WI  54421-0140  ",Colby,54421,0140,"202 West Dolf St Colby WI  54421  ",Colby,10,Clark,715-223-2044,N/A,7152234388,skolden@colby.k12.wi.us,www.colby.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5502730,00312,Public school
Little Wolf Jr/Sr Hi,Manawa,3276,06,0040,High School,07,12,Daniel J Wolfgram,Principal,515 E 4th St  Manawa WI  54949-9230,"515 E 4th St Manawa WI  54949-9230  ",Manawa,54949,9230,"515 E 4th St Manawa WI  54949-9230  ",Manawa,68,Waupaca,920-596-5800,5310,9205962655,dwolfgram@manawaschools.org,www.manawaschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5508550,00968,Public school
Locust Lane El,Eau Claire Area,1554,10,0220,Elementary School,KG,05,Laura  Schlichting,Principal,3245 Locust Ln  Eau Claire WI  54703-1100,"3245 Locust Ln Eau Claire WI  54703-1100  ",Eau Claire,54703,1100,"3245 Locust Ln Eau Claire WI  54703-1100  ",Eau Claire,18,Eau Claire,715-852-3710,N/A,7158523704,lschlichting@ecasd.us,www.ecasd.us/locust-lane-elementary/home,Regular,No,Primarily Classroom (Supplemental Virtual),5504050,00424,Public school
Lodi El,Lodi,3150,05,0040,Elementary School,03,05,MIchael M Pisani,Principal,101 School St  Lodi WI  53555-1098,"101 School St Lodi WI  53555-1098  ",Lodi,53555,1098,"101 School St Lodi WI  53555-1098  ",Lodi,11,Columbia,608-592-3842,2101,6085922507,pisanmi@lodischoolswi.org,www.lodi.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508190,00904,Public school
Lodi Hi,Lodi,3150,05,0080,High School,09,12,Vincent  Breunig,Principal,1100 Sauk St  Lodi WI  53555-1098,"1100 Sauk St Lodi WI  53555-1098  ",Lodi,53555,1098,"1100 Sauk St Lodi WI  53555-1098  ",Lodi,11,Columbia,608-592-3853,4400,6085921045,breunvi@lodischoolswi.org,www.lodi.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508190,00905,Public school
Lodi Mid,Lodi,3150,05,0100,Middle School,06,08,Joe  Prosek,Principal,900 Sauk St  Lodi WI  53555,"900 Sauk St Lodi WI  53555  ",Lodi,53555,,"900 Sauk St Lodi WI  53555  ",Lodi,11,Columbia,608-592-3854,3200,6085921035,prosejo@lodischoolswi.org,www.lodi.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508190,00906,Public school
Lodi Primary,Lodi,3150,05,0020,Elementary School,K4,02,Sherri  Endres-Lovell,Principal,1307 Sauk St  Lodi WI  53555,"1307 Sauk St Lodi WI  53555  ",Lodi,53555,,"1307 Sauk St Lodi WI  53555  ",Lodi,11,Columbia,608-592-3855,1002,6085923852,endresh@lodischoolswi.org,www.lodi.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508190,00903,Public school
Logan Hi,La Crosse,2849,04,0220,High School,09,12,Deborah  Kollross,Principal,1500 Ranger Dr  La Crosse WI  54603-2713,"1500 Ranger Dr La Crosse WI  54603-2713  ",La Crosse,54603,2713,"1500 Ranger Dr La Crosse WI  54603-2713  ",La Crosse,32,La Crosse,608-789-7700,N/A,6087897711,dkollros@lacrossesd.org,www.lacrosseschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5507530,00865,Public school
Logan Mid,La Crosse,2849,04,0200,Middle School,06,08,Jay  Pica,Principal,1450 Avon St  La Crosse WI  54603-2400,"1450 Avon St La Crosse WI  54603-2400  ",La Crosse,54603,2400,"1450 Avon St La Crosse WI  54603-2400  ",La Crosse,32,La Crosse,608-789-7740,N/A,6087897754,jpica@lacrossesd.org,www.lacrosseschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5507530,00864,Public school
Loganville El,Reedsburg,4753,05,0040,Elementary School,PK,03,Paul  Bierman,Principal,S5864 State Road 23  Loganville WI  53943-9702,"S5864 State Road 23 Loganville WI  53943-9702  ",Loganville,53943,9702,"S5864 State Road 23 Loganville WI  53943-9702  ",Loganville,56,Sauk,608-524-2016,N/A,6087272715,pbierman@rsd.k12.wi.us,www.rsd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5512660,01663,Public school
Lombardi Mid,Green Bay Area Public,2289,07,0425,Middle School,06,08,James  VanAbel,Principal,1520 S Point Rd  Green Bay WI  54313-5497,"1520 S Point Rd Green Bay WI  54313-5497  ",Green Bay,54313,5497,"1520 S Point Rd Green Bay WI  54313-5497  ",Green Bay,05,Brown,920-492-2625,N/A,9204925564,jpvanabel@gbaps.org,www.gbaps.org,Regular,No,Primarily Classroom (Supplemental Virtual),5505820,00631,Public school
Lomira El,Lomira,3171,06,0040,Elementary School,PK,05,Sandy A Schaefer,Principal,1030 4th St  Lomira WI  53048-9558,"PO Box 919 Lomira WI  53048-0919  ",Lomira,53048,0919,"1030 4th St Lomira WI  53048-9558  ",Lomira,14,Dodge,920-269-4396,106,9202694996,sschaefer@lomira.k12.wi.us,www.lomira.k12.wi.us,Regular,No,No,5508220,00907,Public school
Lomira Hi,Lomira,3171,06,0060,High School,09,12,Debra L Janke,Principal,1030 4th St  Lomira WI  53048-9558,"PO Box 919 Lomira WI  53048-0919  ",Lomira,53048,0919,"1030 4th St Lomira WI  53048-9558  ",Lomira,14,Dodge,920-269-4396,109,9202694128,djanke@lomira.k12.wi.us,www.lomira.k12.wi.us,Regular,No,No,5508220,00908,Public school
Lomira Mid,Lomira,3171,06,0070,Middle School,06,08,Robert P Lloyd,Principal,1030 4th St  Lomira WI  53048-9558,"PO Box 919 Lomira WI  53048-0919  ",Lomira,53048,0919,"1030 4th St Lomira WI  53048-9558  ",Lomira,14,Dodge,920-269-4396,104,9202694996,blloyd@lomira.k12.wi.us,www.lomira.k12.wi.us,Regular,No,No,5508220,00909,Public school
Longfellow El,Clintonville,1141,08,0100,Elementary School,PK,04,Tom  Burkhalter,Principal,105 S Clinton Ave  Clintonville WI  54929,"105 S Clinton Ave Clintonville WI  54929  ",Clintonville,54929,,"105 S Clinton Ave Clintonville WI  54929  ",Clintonville,68,Waupaca,715-823-7215,3202,7158237140,tburkhalter@clintonville.k12.wi.us,www.clintonville.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5502670,00305,Public school
Longfellow El,Eau Claire Area,1554,10,0240,Elementary School,KG,05,Sarah  Lynch,Principal,512 Balcom St  Eau Claire WI  54703-3201,"512 Balcom St Eau Claire WI  54703-3201  ",Eau Claire,54703,3201,"512 Balcom St Eau Claire WI  54703-3201  ",Eau Claire,18,Eau Claire,715-852-3810,N/A,7158523804,slynch@ecasd.us,www.ecasd.us/longfellow-elementary/home,Regular,No,Primarily Classroom (Supplemental Virtual),5504050,00425,Public school
Longfellow El,Milwaukee,3619,01,0256,Elementary School,K3,08,Rosa Maria  Cerda,APIC,1021 S 21st St  Milwaukee WI  53204-2030,"1021 S 21st St Milwaukee WI  53204-2030  ",Milwaukee,53204,2030,"1021 S 21st St Milwaukee WI  53204-2030  ",Milwaukee,40,Milwaukee,414-902-9800,N/A,4149029815,256@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01209,Public school
Longfellow El,Sheboygan Area,5271,07,0200,Elementary School,K4,05,Paul  DePagter,Principal,819 Kentucky Ave  Sheboygan WI  53081-4954,"819 Kentucky Ave Sheboygan WI  53081-4954  ",Sheboygan,53081,4954,"819 Kentucky Ave Sheboygan WI  53081-4954  ",Sheboygan,59,Sheboygan,920-459-3580,N/A,9204590451,pdepagter@sasd.net,www.sheboygan.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5513650,01790,Public school
Longfellow El,West Allis-West Milwaukee,6300,01,0280,Elementary School,K4,05,Jessica  Moe,Principal,2211 S 60th St  West Allis WI  53219-2164,"2211 S 60th St West Allis WI  53219-2164  ",West Allis,53219,2164,"2211 S 60th St West Allis WI  53219-2164  ",West Allis,40,Milwaukee,414-604-4311,N/A,4145465540,moej@wawmsd.org,www.wawm.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5516260,02114,Public school
Longfellow Mid,La Crosse,2849,04,0240,Middle School,06,08,Penny A Reedy,Principal,1900 Denton St  La Crosse WI  54601-5898,"1900 Denton St La Crosse WI  54601-5898  ",La Crosse,54601,5898,"1900 Denton St La Crosse WI  54601-5898  ",La Crosse,32,La Crosse,608-789-7670,N/A,6087897975,preedy@lacrossesd.org,www.lacrosseschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5507530,00866,Public school
Longfellow Mid,Wauwatosa,6244,01,0140,Middle School,06,08,Seth  Larson,Principal,7600 W North Ave  Wauwatosa WI  53213-1719,"7600 W North Ave Wauwatosa WI  53213-1719  ",Wauwatosa,53213,1719,"7600 W North Ave Wauwatosa WI  53213-1719  ",Wauwatosa,40,Milwaukee,414-773-2400,N/A,4147732420,larsonse@wauwatosa.k12.wi.us,www.edlinesites.net/pages/longfellow_middle_school,Regular,No,Primarily Classroom (Supplemental Virtual),5515990,02083,Public school
Lowell El,Madison Metropolitan,3269,02,0495,Elementary School,K4,05,John  Burkholder,Principal,401 Maple Ave  Madison WI  53704-5894,"401 Maple Ave Madison WI  53704-5894  ",Madison,53704,5894,"401 Maple Ave Madison WI  53704-5894  ",Madison,13,Dane,608-204-6603,N/A,6082040463,jburkholder@madison.k12.wi.us,www.madison.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508520,00946,Public school
Lowell El,Waukesha,6174,01,0260,Elementary School,K4,05,Rachel  Hermann,Principal,140 N Grandview Blvd  Waukesha WI  53188-4299,"140 N Grandview Blvd Waukesha WI  53188-4299  ",Waukesha,53188,4299,"140 N Grandview Blvd Waukesha WI  53188-4299  ",Waukesha,67,Waukesha,262-970-1910,N/A,2629701920,rhermann@waukesha.k12.wi.us,www.waukesha.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5515780,02017,Public school
Lowell International El,Milwaukee,3619,01,0257,Elementary School,K3,05,Pandora  Bedford,Principal,4360 S 20th St  Milwaukee WI  53221-2367,"4360 S 20th St Milwaukee WI  53221-2367  ",Milwaukee,53221,2367,"4360 S 20th St Milwaukee WI  53221-2367  ",Milwaukee,40,Milwaukee,414-304-6600,N/A,4143046615,257@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,01210,Public school
Loyal El,Loyal,3206,10,0020,Elementary School,K4,06,Nancy Louise Popp,Principal,514 W Central  Loyal WI  54446,"PO Box 250 Loyal WI  54446-0250  ",Loyal,54446,0250,"514 W Central Loyal WI  54446  ",Loyal,10,Clark,715-255-8561,1330,7152558553,nancypopp@loyal.k12.wi.us,www.loyal.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508250,00911,Public school
Loyal Hi,Loyal,3206,10,0060,High School,09,12,Christopher  Lindner,Principal,514 W Central  Loyal WI  54446,"PO Box 10 Loyal WI  54446-0010  ",Loyal,54446,0010,"514 W Central Loyal WI  54446  ",Loyal,10,Clark,715-255-8511,N/A,7152558553,chrislindner@loyal.k12.wi.us,www.loyal.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508250,00912,Public school
Loyal Jr,Loyal,3206,10,0040,Junior High School,07,08,Christopher  Lindner,Principal,514 W Central  Loyal WI  54446,"PO Box 10 Loyal WI  54446-0010  ",Loyal,54446,0010,"514 W Central Loyal WI  54446  ",Loyal,10,Clark,715-255-8511,N/A,7152558553,chrislindner@loyal.k12.wi.us,www.loyal.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508250,00913,Public school
Luck El,Luck,3213,11,0040,Elementary School,K4,06,Jason  Harelson,Principal,810 S 7th St  Luck WI  54853-9099,"810 S 7th St Luck WI  54853-9099  ",Luck,54853,9099,"810 S 7th St Luck WI  54853-9099  ",Luck,48,Polk,715-472-2151,109,7154722159,jasonh@lucksd.k12.wi.us,www.lucksd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508280,00914,Public school
Luck Hi,Luck,3213,11,0060,High School,07,12,Brad  Werner,Principal,810 S 7th St  Luck WI  54853-9099,"810 S 7th St Luck WI  54853-9099  ",Luck,54853,9099,"810 S 7th St Luck WI  54853-9099  ",Luck,48,Polk,715-472-2151,101,7154722159,bradw@lucksd.k12.wi.us,www.lucksd.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508280,00915,Public school
Lumen Charter Hi,Ripon Area,4872,06,0440,High School,09,12,Randy  Hatlen,Principal,850 Tiger Dr  Ripon WI  54971,"PO Box 991 Ripon WI  54971-0991  ",Ripon,54971,0991,"850 Tiger Dr Ripon WI  54971  ",Ripon,20,Fond du Lac,920-748-4616,3718,9207484622,hatlenr@ripon.k12.wi.us,www.ripon.k12.wi.us,Regular,Charter,Primarily Classroom (Supplemental Virtual),5513020,02875,Public school
Luther El,Fort Atkinson,1883,02,0100,Elementary School,PK,05,David  Geiger,Principal,205 Park St  Fort Atkinson WI  53538-2155,"205 Park St Fort Atkinson WI  53538-2155  ",Fort Atkinson,53538,2155,"205 Park St Fort Atkinson WI  53538-2155  ",Fort Atkinson,28,Jefferson,920-563-7828,6172,9205687051,luther@fortschools.org,www.fortschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5504740,02416,Public school
Luther El,South Milwaukee,5439,01,0020,Elementary School,K4,05,Eric  Wightman,Principal,718 Hawthorne Ave  South Milwaukee WI  53172-1734,"718 Hawthorne Ave South Milwaukee WI  53172-1734  ",South Milwaukee,53172,1734,"718 Hawthorne Ave South Milwaukee WI  53172-1734  ",South Milwaukee,40,Milwaukee,414-766-5326,N/A,4147665327,jschneider@sdsm.k12.wi.us,www.sdsm.k12.wi.us,Regular,No,No,5514040,01827,Public school
Luxemburg-Casco Hi,Luxemburg-Casco,3220,07,0140,High School,09,12,Troy  Haws,Principal,512 Center Dr  Luxemburg WI  54217,"PO Box 410 Luxemburg WI  54217-0410  ",Luxemburg,54217,0410,"512 Center Dr Luxemburg WI  54217  ",Luxemburg,31,Kewaunee,920-845-2336,N/A,9208452280,thaws@luxcasco.k12.wi.us,www.luxcasco.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508340,00918,Public school
Luxemburg-Casco Intermed,Luxemburg-Casco,3220,07,0100,Elementary School,03,06,Jolene  Hussong,Principal,318 N Main St  Luxemburg WI  54217,"PO Box 70 Luxemburg WI  54217-0070  ",Luxemburg,54217,0070,"318 N Main St Luxemburg WI  54217  ",Luxemburg,31,Kewaunee,920-845-2371,N/A,9208452232,jhussong@luxcasco.k12.wi.us,www.luxcasco.k12.wi.us,Regular,No,No,5508340,00916,Public school
Luxemburg-Casco Mid,Luxemburg-Casco,3220,07,0120,Middle School,07,08,Michael R Snowberry,Principal,619 Church Ave  Casco WI  54205-9721,"619 Church Ave Casco WI  54205-9721  ",Casco,54205,9721,"619 Church Ave Casco WI  54205-9721  ",Casco,31,Kewaunee,920-837-2205,N/A,9208377517,msnowberry@luxcasco.k12.wi.us,www.luxcasco.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5508340,00917,Public school
Luxemburg-Casco Primary,Luxemburg-Casco,3220,07,0110,Elementary School,K4,02,Peter J Kline,Principal,601 Marcks Ln  Luxemburg WI  54217,"PO Box 220 Luxemburg WI  54217  ",Luxemburg,54217,,"601 Marcks Ln Luxemburg WI  54217  ",Luxemburg,31,Kewaunee,920-845-2315,N/A,9208452503,pkline@luxcasco.k12.wi.us,www.luxcasco.k12.wi.us,Regular,No,No,5508340,02525,Public school
Lyndon Station El,Mauston,3360,05,0040,Elementary School,K4,04,Michele  Yates-Wickus,Principal,200 Hoehn Dr  Lyndon Station WI  53944,"PO Box 405 Lyndon Station WI  53944-0405  ",Lyndon Station,53944,0405,"200 Hoehn Dr Lyndon Station WI  53944  ",Lyndon Station,29,Juneau,608-847-5451,6602,6086662510,myates-wickus@maustonschools.org,www.maustonschools.org,Regular,No,Primarily Classroom (Supplemental Virtual),5508850,01024,Public school
Lyons Ctr,Burlington Area,0777,02,0120,Elementary School,K4,04,Susan  Mosher,Principal,1622 Mill St  Burlington WI  53105,"1622 Mill St Burlington WI  53105  ",Burlington,53105,,"1622 Mill St Burlington WI  53105  ",Burlington,51,Racine,262-763-5380,N/A,2627635382,smosher@basd.k12.wi.us,www.basd.k12.wi.us,Regular,No,No,5501890,00635,Public school
MacArthur El,Germantown,2058,01,0120,Elementary School,PK,05,Steven  Williams,Principal,W154N11492 Fond du Lac Ave  Germantown WI  53022-3499,"W154N11492 Fond du Lac Ave Germantown WI  53022-3499  ",Germantown,53022,3499,"W154N11492 Fond du Lac Ave Germantown WI  53022-3499  ",Germantown,66,Washington,262-253-3468,N/A,2622533496,swilliams@gsdwi.org,www.germantownschools.org,Regular,No,No,5505160,00555,Public school
MacArthur El,Green Bay Area Public,2289,07,0430,Elementary School,K4,05,Kim  Spychalla,Principal,1331 Hobart Dr  Green Bay WI  54304-1499,"1331 Hobart Dr Green Bay WI  54304-1499  ",Green Bay,54304,1499,"1331 Hobart Dr Green Bay WI  54304-1499  ",Green Bay,05,Brown,920-492-2680,N/A,9204925573,kmspychalla@gbaps.org,www.gbaps.org,Regular,No,Primarily Classroom (Supplemental Virtual),5505820,00632,Public school
MacDowell Montessori Sch,Milwaukee,3619,01,0870,Combined Elementary/Secondary School,K3,12,Andrea  Corona,Principal,6415 W Mount Vernon Ave  Milwaukee WI  53213-4025,"6415 W Mount Vernon Ave Milwaukee WI  53213-4025  ",Milwaukee,53213,4025,"6415 W Mount Vernon Ave Milwaukee WI  53213-4025  ",Milwaukee,40,Milwaukee,414-935-1400,N/A,4149351415,261@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,02931,Public school
Madison Academic Campus,Milwaukee,3619,01,0409,High School,09,12,Gregory  Ogunbowale,Principal,8135 W Florist Ave  Milwaukee WI  53218-1745,"8135 W Florist Ave Milwaukee WI  53218-1745  ",Milwaukee,53218,1745,"8135 W Florist Ave Milwaukee WI  53218-1745  ",Milwaukee,40,Milwaukee,414-393-6105,N/A,4143936262,069@milwaukee.k12.wi.us,www.milwaukee.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5509600,02700,Public school
Madison El,Janesville,2695,02,0220,Elementary School,K4,05,Stephanie  Filter,Principal,331 N Grant Ave  Janesville WI  53548-3429,"331 N Grant Ave Janesville WI  53548-3429  ",Janesville,53548,3429,"331 N Grant Ave Janesville WI  53548-3429  ",Janesville,53,Rock,608-743-6806,N/A,6087436810,sfilter@janesville.k12.wi.us,www.janesville.k12.wi.us/mad,Regular,No,Primarily Classroom (Supplemental Virtual),5507020,00767,Public school
Madison El,Manitowoc,3290,07,0160,Elementary School,01,06,Matthew  Malcore,Principal,701 N 4th St  Manitowoc WI  54220-3932,"701 N 4th St Manitowoc WI  54220-3932  ",Manitowoc,54220,3932,"701 N 4th St Manitowoc WI  54220-3932  ",Manitowoc,36,Manitowoc,920-663-9542,N/A,9206639541,malcorem@mpsd.k12.wi.us,www.manitowocpublicschools.com,Regular,No,Primarily Classroom (Supplemental Virtual),5508610,00977,Public school
Madison El,Marshfield Unified,3339,05,0100,Elementary School,KG,06,Tiffany  Scheer,Principal,510 N Palmetto Ave  Marshfield WI  54449-3099,"510 N Palmetto Ave Marshfield WI  54449-3099  ",Marshfield,54449,3099,"510 N Palmetto Ave Marshfield WI  54449-3099  ",Marshfield,71,Wood,715-384-8181,N/A,7154861291,scheer@marshfieldschools.org,www.marshfieldschools.org/domain/63,Regular,No,Primarily Classroom (Supplemental Virtual),5508820,01019,Public school
Madison El,Stevens Point Area Public,5607,05,0190,Elementary School,PK,06,Karl  Bancker,Principal,600 Maria Dr  Stevens Point WI  54481-1499,"600 Maria Dr Stevens Point WI  54481-1499  ",Stevens Point,54481,1499,"600 Maria Dr Stevens Point WI  54481-1499  ",Stevens Point,49,Portage,715-345-5419,N/A,7153457349,kbancker@pointschools.net,www.pointschools.net,Regular,No,Primarily Classroom (Supplemental Virtual),5514490,01874,Public school
Madison El,Wauwatosa,6244,01,0160,Elementary School,K4,05,Lori  Lester,Principal,9925 W Glendale Ave  Wauwatosa WI  53225-4799,"9925 W Glendale Ave Wauwatosa WI  53225-4799  ",Wauwatosa,53225,4799,"9925 W Glendale Ave Wauwatosa WI  53225-4799  ",Wauwatosa,40,Milwaukee,414-773-1400,N/A,4147731420,lesterlo@wauwatosa.k12.wi.us,www.edlinesites.net/pages/857098212924926194,Regular,No,Primarily Classroom (Supplemental Virtual),5515990,02085,Public school
Madison El,West Allis-West Milwaukee,6300,01,0300,Elementary School,K4,05,Breanne  Willms,Principal,1117 S 104th St  West Allis WI  53214-2558,"1117 S 104th St West Allis WI  53214-2558  ",West Allis,53214,2558,"1117 S 104th St West Allis WI  53214-2558  ",West Allis,40,Milwaukee,414-604-4411,N/A,4142566782,willmsb@wawmsd.org,www.wawm.k12.wi.us,Regular,No,Primarily Classroom (Supplemental Virtual),5516260,02115,Public school
